NVRVD : 0 -> 3 , needed 17 , made 20 ore: 0 -> 695
VJHF : 2 -> 4 , needed 22 , made 24 ore: 52629 -> 53333
MNCFX : 4 -> 3 , needed 37 , made 36 ore: 53333 -> 54203
VJHF : 4 -> 0 , needed 22 , made 18 ore: 54203 -> 54731
MNCFX : 3 -> 2 , needed 37 , made 36 ore: 54731 -> 55601
CXFTF : 0 -> 6 , needed 2 , made 8 ore: 55601 -> 55602
MNCFX : 2 -> 3 , needed 11 , made 12 ore: 55602 -> 55892
VJHF : 0 -> 2 , needed 22 , made 24 ore: 55892 -> 56596
MNCFX : 3 -> 2 , needed 37 , made 36 ore: 56596 -> 57466
CXFTF : 6 -> 4 , needed 2 , made 0 ore: 57466 -> 57466
MNCFX : 2 -> 3 , needed 11 , made 12 ore: 57466 -> 57756
VJHF : 2 -> 4 , needed 22 , made 24 ore: 57756 -> 58460
MNCFX : 3 -> 2 , needed 37 , made 36 ore: 58460 -> 59330
VJHF : 4 -> 0 , needed 22 , made 18 ore: 59330 -> 59858
MNCFX : 2 -> 1 , needed 37 , made 36 ore: 59858 -> 60728
CXFTF : 4 -> 2 , needed 2 , made 0 ore: 60728 -> 60728
MNCFX : 1 -> 2 , needed 11 , made 12 ore: 60728 -> 61018
VJHF : 0 -> 2 , needed 22 , made 24 ore: 61018 -> 61722
MNCFX : 2 -> 1 , needed 37 , made 36 ore: 61722 -> 62592
CXFTF : 2 -> 0 , needed 2 , made 0 ore: 62592 -> 62592
MNCFX : 1 -> 2 , needed 11 , made 12 ore: 62592 -> 62882
NVRVD : 2 -> 1 , needed 17 , made 16 ore: 62882 -> 63438
JNWZP : 3 -> 0 , needed 3 , made 0 ore: 63438 -> 63438
VJHF : 2 -> 4 , needed 22 , made 24 ore: 63438 -> 64142
MNCFX : 2 -> 1 , needed 37 , made 36 ore: 64142 -> 65012
CXFTF : 0 -> 6 , needed 2 , made 8 ore: 65012 -> 65013
MNCFX : 1 -> 2 , needed 11 , made 12 ore: 65013 -> 65303
VJHF : 4 -> 0 , needed 22 , made 18 ore: 65303 -> 65831
MNCFX : 2 -> 1 , needed 37 , made 36 ore: 65831 -> 66701
VJHF : 0 -> 2 , needed 22 , made 24 ore: 66701 -> 67405
MNCFX : 1 -> 0 , needed 37 , made 36 ore: 67405 -> 68275
CXFTF : 6 -> 4 , needed 2 , made 0 ore: 68275 -> 68275
MNCFX : 0 -> 1 , needed 11 , made 12 ore: 68275 -> 68565
VJHF : 2 -> 4 , needed 22 , made 24 ore: 68565 -> 69269
MNCFX : 1 -> 0 , needed 37 , made 36 ore: 69269 -> 70139
CXFTF : 4 -> 2 , needed 2 , made 0 ore: 70139 -> 70139
MNCFX : 0 -> 1 , needed 11 , made 12 ore: 70139 -> 70429
VJHF : 4 -> 0 , needed 22 , made 18 ore: 70429 -> 70957
MNCFX : 1 -> 0 , needed 37 , made 36 ore: 70957 -> 71827
VJHF : 0 -> 2 , needed 22 , made 24 ore: 71827 -> 72531
MNCFX : 0 -> 5 , needed 37 , made 42 ore: 72531 -> 73546
CXFTF : 2 -> 0 , needed 2 , made 0 ore: 73546 -> 73546
MNCFX : 5 -> 0 , needed 11 , made 6 ore: 73546 -> 73691
NVRVD : 1 -> 0 , needed 17 , made 16 ore: 73691 -> 74247
JNWZP : 0 -> 4 , needed 3 , made 7 ore: 74247 -> 74391
VJHF : 2 -> 4 , needed 22 , made 24 ore: 74391 -> 75095
MNCFX : 0 -> 5 , needed 37 , made 42 ore: 75095 -> 76110
CXFTF : 0 -> 6 , needed 2 , made 8 ore: 76110 -> 76111
MNCFX : 5 -> 0 , needed 11 , made 6 ore: 76111 -> 76256
VJHF : 4 -> 0 , needed 22 , made 18 ore: 76256 -> 76784
MNCFX : 0 -> 5 , needed 37 , made 42 ore: 76784 -> 77799
CXFTF : 6 -> 4 , needed 2 , made 0 ore: 77799 -> 77799
MNCFX : 5 -> 0 , needed 11 , made 6 ore: 77799 -> 77944
VJHF : 0 -> 2 , needed 22 , made 24 ore: 77944 -> 78648
MNCFX : 0 -> 5 , needed 37 , made 42 ore: 78648 -> 79663
VJHF : 2 -> 4 , needed 22 , made 24 ore: 79663 -> 80367
MNCFX : 5 -> 4 , needed 37 , made 36 ore: 80367 -> 81237
CXFTF : 4 -> 2 , needed 2 , made 0 ore: 81237 -> 81237
MNCFX : 4 -> 5 , needed 11 , made 12 ore: 81237 -> 81527
VJHF : 4 -> 0 , needed 22 , made 18 ore: 81527 -> 82055
MNCFX : 5 -> 4 , needed 37 , made 36 ore: 82055 -> 82925
CXFTF : 2 -> 0 , needed 2 , made 0 ore: 82925 -> 82925
MNCFX : 4 -> 5 , needed 11 , made 12 ore: 82925 -> 83215
NVRVD : 0 -> 3 , needed 17 , made 20 ore: 83215 -> 83910
JNWZP : 4 -> 1 , needed 3 , made 0 ore: 83910 -> 83910
VJHF : 0 -> 2 , needed 22 , made 24 ore: 83910 -> 84614
MNCFX : 5 -> 4 , needed 37 , made 36 ore: 84614 -> 85484
VJHF : 2 -> 4 , needed 22 , made 24 ore: 85484 -> 86188
MNCFX : 4 -> 3 , needed 37 , made 36 ore: 86188 -> 87058
CXFTF : 0 -> 6 , needed 2 , made 8 ore: 87058 -> 87059
MNCFX : 3 -> 4 , needed 11 , made 12 ore: 87059 -> 87349
VJHF : 4 -> 0 , needed 22 , made 18 ore: 87349 -> 87877
MNCFX : 4 -> 3 , needed 37 , made 36 ore: 87877 -> 88747
CXFTF : 6 -> 4 , needed 2 , made 0 ore: 88747 -> 88747
MNCFX : 3 -> 4 , needed 11 , made 12 ore: 88747 -> 89037
VJHF : 0 -> 2 , needed 22 , made 24 ore: 89037 -> 89741
MNCFX : 4 -> 3 , needed 37 , made 36 ore: 89741 -> 90611
CXFTF : 4 -> 2 , needed 2 , made 0 ore: 90611 -> 90611
MNCFX : 3 -> 4 , needed 11 , made 12 ore: 90611 -> 90901
VJHF : 2 -> 4 , needed 22 , made 24 ore: 90901 -> 91605
MNCFX : 4 -> 3 , needed 37 , made 36 ore: 91605 -> 92475
VJHF : 4 -> 0 , needed 22 , made 18 ore: 92475 -> 93003
MNCFX : 3 -> 2 , needed 37 , made 36 ore: 93003 -> 93873
CXFTF : 2 -> 0 , needed 2 , made 0 ore: 93873 -> 93873
MNCFX : 2 -> 3 , needed 11 , made 12 ore: 93873 -> 94163
NVRVD : 3 -> 2 , needed 17 , made 16 ore: 94163 -> 94719
JNWZP : 1 -> 5 , needed 3 , made 7 ore: 94719 -> 94863
VJHF : 0 -> 2 , needed 22 , made 24 ore: 94863 -> 95567
MNCFX : 3 -> 2 , needed 37 , made 36 ore: 95567 -> 96437
CXFTF : 0 -> 6 , needed 2 , made 8 ore: 96437 -> 96438
MNCFX : 2 -> 3 , needed 11 , made 12 ore: 96438 -> 96728
VJHF : 2 -> 4 , needed 22 , made 24 ore: 96728 -> 97432
MNCFX : 3 -> 2 , needed 37 , made 36 ore: 97432 -> 98302
VJHF : 4 -> 0 , needed 22 , made 18 ore: 98302 -> 98830
MNCFX : 2 -> 1 , needed 37 , made 36 ore: 98830 -> 99700
CXFTF : 6 -> 4 , needed 2 , made 0 ore: 99700 -> 99700
MNCFX : 1 -> 2 , needed 11 , made 12 ore: 99700 -> 99990
VJHF : 0 -> 2 , needed 22 , made 24 ore: 99990 -> 100694
MNCFX : 2 -> 1 , needed 37 , made 36 ore: 100694 -> 101564
CXFTF : 4 -> 2 , needed 2 , made 0 ore: 101564 -> 101564
MNCFX : 1 -> 2 , needed 11 , made 12 ore: 101564 -> 101854
VJHF : 2 -> 4 , needed 22 , made 24 ore: 101854 -> 102558
MNCFX : 2 -> 1 , needed 37 , made 36 ore: 102558 -> 103428
CXFTF : 2 -> 0 , needed 2 , made 0 ore: 103428 -> 103428
MNCFX : 1 -> 2 , needed 11 , made 12 ore: 103428 -> 103718
NVRVD : 2 -> 1 , needed 17 , made 16 ore: 103718 -> 104274
JNWZP : 5 -> 2 , needed 3 , made 0 ore: 104274 -> 104274
VJHF : 4 -> 0 , needed 22 , made 18 ore: 104274 -> 104802
MNCFX : 2 -> 1 , needed 37 , made 36 ore: 104802 -> 105672
VJHF : 0 -> 2 , needed 22 , made 24 ore: 105672 -> 106376
MNCFX : 1 -> 0 , needed 37 , made 36 ore: 106376 -> 107246
CXFTF : 0 -> 6 , needed 2 , made 8 ore: 107246 -> 107247
MNCFX : 0 -> 1 , needed 11 , made 12 ore: 107247 -> 107537
VJHF : 2 -> 4 , needed 22 , made 24 ore: 107537 -> 108241
MNCFX : 1 -> 0 , needed 37 , made 36 ore: 108241 -> 109111
CXFTF : 6 -> 4 , needed 2 , made 0 ore: 109111 -> 109111
MNCFX : 0 -> 1 , needed 11 , made 12 ore: 109111 -> 109401
VJHF : 4 -> 0 , needed 22 , made 18 ore: 109401 -> 109929
MNCFX : 1 -> 0 , needed 37 , made 36 ore: 109929 -> 110799
VJHF : 0 -> 2 , needed 22 , made 24 ore: 110799 -> 111503
MNCFX : 0 -> 5 , needed 37 , made 42 ore: 111503 -> 112518
CXFTF : 4 -> 2 , needed 2 , made 0 ore: 112518 -> 112518
MNCFX : 5 -> 0 , needed 11 , made 6 ore: 112518 -> 112663
VJHF : 2 -> 4 , needed 22 , made 24 ore: 112663 -> 113367
MNCFX : 0 -> 5 , needed 37 , made 42 ore: 113367 -> 114382
CXFTF : 2 -> 0 , needed 2 , made 0 ore: 114382 -> 114382
MNCFX : 5 -> 0 , needed 11 , made 6 ore: 114382 -> 114527
NVRVD : 1 -> 0 , needed 17 , made 16 ore: 114527 -> 115083
JNWZP : 2 -> 6 , needed 3 , made 7 ore: 115083 -> 115227
VJHF : 4 -> 0 , needed 22 , made 18 ore: 115227 -> 115755
MNCFX : 0 -> 5 , needed 37 , made 42 ore: 115755 -> 116770
CXFTF : 0 -> 6 , needed 2 , made 8 ore: 116770 -> 116771
MNCFX : 5 -> 0 , needed 11 , made 6 ore: 116771 -> 116916
VJHF : 0 -> 2 , needed 22 , made 24 ore: 116916 -> 117620
MNCFX : 0 -> 5 , needed 37 , made 42 ore: 117620 -> 118635
VJHF : 2 -> 4 , needed 22 , made 24 ore: 118635 -> 119339
MNCFX : 5 -> 4 , needed 37 , made 36 ore: 119339 -> 120209
CXFTF : 6 -> 4 , needed 2 , made 0 ore: 120209 -> 120209
MNCFX : 4 -> 5 , needed 11 , made 12 ore: 120209 -> 120499
VJHF : 4 -> 0 , needed 22 , made 18 ore: 120499 -> 121027
MNCFX : 5 -> 4 , needed 37 , made 36 ore: 121027 -> 121897
CXFTF : 4 -> 2 , needed 2 , made 0 ore: 121897 -> 121897
MNCFX : 4 -> 5 , needed 11 , made 12 ore: 121897 -> 122187
VJHF : 0 -> 2 , needed 22 , made 24 ore: 122187 -> 122891
MNCFX : 5 -> 4 , needed 37 , made 36 ore: 122891 -> 123761
VJHF : 2 -> 4 , needed 22 , made 24 ore: 123761 -> 124465
MNCFX : 4 -> 3 , needed 37 , made 36 ore: 124465 -> 125335
CXFTF : 2 -> 0 , needed 2 , made 0 ore: 125335 -> 125335
MNCFX : 3 -> 4 , needed 11 , made 12 ore: 125335 -> 125625
NVRVD : 0 -> 3 , needed 17 , made 20 ore: 125625 -> 126320
JNWZP : 6 -> 3 , needed 3 , made 0 ore: 126320 -> 126320
VJHF : 4 -> 0 , needed 22 , made 18 ore: 126320 -> 126848
MNCFX : 4 -> 3 , needed 37 , made 36 ore: 126848 -> 127718
CXFTF : 0 -> 6 , needed 2 , made 8 ore: 127718 -> 127719
MNCFX : 3 -> 4 , needed 11 , made 12 ore: 127719 -> 128009
VJHF : 0 -> 2 , needed 22 , made 24 ore: 128009 -> 128713
MNCFX : 4 -> 3 , needed 37 , made 36 ore: 128713 -> 129583
CXFTF : 6 -> 4 , needed 2 , made 0 ore: 129583 -> 129583
MNCFX : 3 -> 4 , needed 11 , made 12 ore: 129583 -> 129873
VJHF : 2 -> 4 , needed 22 , made 24 ore: 129873 -> 130577
MNCFX : 4 -> 3 , needed 37 , made 36 ore: 130577 -> 131447
VJHF : 4 -> 0 , needed 22 , made 18 ore: 131447 -> 131975
MNCFX : 3 -> 2 , needed 37 , made 36 ore: 131975 -> 132845
CXFTF : 4 -> 2 , needed 2 , made 0 ore: 132845 -> 132845
MNCFX : 2 -> 3 , needed 11 , made 12 ore: 132845 -> 133135
VJHF : 0 -> 2 , needed 22 , made 24 ore: 133135 -> 133839
MNCFX : 3 -> 2 , needed 37 , made 36 ore: 133839 -> 134709
CXFTF : 2 -> 0 , needed 2 , made 0 ore: 134709 -> 134709
MNCFX : 2 -> 3 , needed 11 , made 12 ore: 134709 -> 134999
NVRVD : 3 -> 2 , needed 17 , made 16 ore: 134999 -> 135555
JNWZP : 3 -> 0 , needed 3 , made 0 ore: 135555 -> 135555
VJHF : 2 -> 4 , needed 22 , made 24 ore: 135555 -> 136259
MNCFX : 3 -> 2 , needed 37 , made 36 ore: 136259 -> 137129
VJHF : 4 -> 0 , needed 22 , made 18 ore: 137129 -> 137657
MNCFX : 2 -> 1 , needed 37 , made 36 ore: 137657 -> 138527
CXFTF : 0 -> 6 , needed 2 , made 8 ore: 138527 -> 138528
MNCFX : 1 -> 2 , needed 11 , made 12 ore: 138528 -> 138818
MNCFX : 2 -> 2 , needed 6 , made 6 ore: 138818 -> 138963
VJHF : 0 -> 2 , needed 46 , made 48 ore: 138963 -> 140371
MNCFX : 2 -> 3 , needed 5 , made 6 ore: 140371 -> 140516
VJHF : 2 -> 1 , needed 1 , made 0 ore: 140516 -> 140516
MNCFX : 3 -> 3 , needed 6 , made 6 ore: 140516 -> 140661
VJHF : 1 -> 0 , needed 1 , made 0 ore: 140661 -> 140661
MNCFX : 3 -> 3 , needed 6 , made 6 ore: 140661 -> 140806
CXFTF : 6 -> 3 , needed 19 , made 16 ore: 140806 -> 140808
MNCFX : 3 -> 4 , needed 5 , made 6 ore: 140808 -> 140953
VJHF : 0 -> 5 , needed 1 , made 6 ore: 140953 -> 141129
MNCFX : 4 -> 4 , needed 6 , made 6 ore: 141129 -> 141274
VJHF : 5 -> 4 , needed 1 , made 0 ore: 141274 -> 141274
MNCFX : 4 -> 4 , needed 6 , made 6 ore: 141274 -> 141419
CXFTF : 3 -> 0 , needed 19 , made 16 ore: 141419 -> 141421
MNCFX : 4 -> 5 , needed 5 , made 6 ore: 141421 -> 141566
VJHF : 4 -> 3 , needed 1 , made 0 ore: 141566 -> 141566
MNCFX : 5 -> 5 , needed 6 , made 6 ore: 141566 -> 141711
VJHF : 3 -> 2 , needed 1 , made 0 ore: 141711 -> 141711
MNCFX : 5 -> 5 , needed 6 , made 6 ore: 141711 -> 141856
VJHF : 2 -> 4 , needed 22 , made 24 ore: 141856 -> 142560
MNCFX : 5 -> 4 , needed 37 , made 36 ore: 142560 -> 143430
CXFTF : 0 -> 5 , needed 19 , made 24 ore: 143430 -> 143433
MNCFX : 4 -> 5 , needed 5 , made 6 ore: 143433 -> 143578
VJHF : 4 -> 3 , needed 1 , made 0 ore: 143578 -> 143578
MNCFX : 5 -> 5 , needed 6 , made 6 ore: 143578 -> 143723
NVRVD : 2 -> 1 , needed 17 , made 16 ore: 143723 -> 144279
JNWZP : 0 -> 4 , needed 3 , made 7 ore: 144279 -> 144423
CXFTF : 5 -> 2 , needed 19 , made 16 ore: 144423 -> 144425
MNCFX : 5 -> 0 , needed 5 , made 0 ore: 144425 -> 144425
VJHF : 3 -> 2 , needed 1 , made 0 ore: 144425 -> 144425
MNCFX : 0 -> 0 , needed 6 , made 6 ore: 144425 -> 144570
VJHF : 2 -> 1 , needed 1 , made 0 ore: 144570 -> 144570
MNCFX : 0 -> 0 , needed 6 , made 6 ore: 144570 -> 144715
VJHF : 1 -> 3 , needed 22 , made 24 ore: 144715 -> 145419
MNCFX : 0 -> 5 , needed 37 , made 42 ore: 145419 -> 146434
CXFTF : 2 -> 7 , needed 19 , made 24 ore: 146434 -> 146437
MNCFX : 5 -> 0 , needed 5 , made 0 ore: 146437 -> 146437
VJHF : 3 -> 2 , needed 1 , made 0 ore: 146437 -> 146437
MNCFX : 0 -> 0 , needed 6 , made 6 ore: 146437 -> 146582
VJHF : 2 -> 1 , needed 1 , made 0 ore: 146582 -> 146582
MNCFX : 0 -> 0 , needed 6 , made 6 ore: 146582 -> 146727
CXFTF : 7 -> 4 , needed 19 , made 16 ore: 146727 -> 146729
MNCFX : 0 -> 1 , needed 5 , made 6 ore: 146729 -> 146874
VJHF : 1 -> 0 , needed 1 , made 0 ore: 146874 -> 146874
MNCFX : 1 -> 1 , needed 6 , made 6 ore: 146874 -> 147019
VJHF : 0 -> 5 , needed 1 , made 6 ore: 147019 -> 147195
MNCFX : 1 -> 1 , needed 6 , made 6 ore: 147195 -> 147340
CXFTF : 4 -> 1 , needed 19 , made 16 ore: 147340 -> 147342
MNCFX : 1 -> 2 , needed 5 , made 6 ore: 147342 -> 147487
VJHF : 5 -> 4 , needed 1 , made 0 ore: 147487 -> 147487
MNCFX : 2 -> 2 , needed 6 , made 6 ore: 147487 -> 147632
VJHF : 4 -> 0 , needed 22 , made 18 ore: 147632 -> 148160
MNCFX : 2 -> 1 , needed 37 , made 36 ore: 148160 -> 149030
NVRVD : 1 -> 0 , needed 17 , made 16 ore: 149030 -> 149586
JNWZP : 4 -> 1 , needed 3 , made 0 ore: 149586 -> 149586
CXFTF : 1 -> 6 , needed 19 , made 24 ore: 149586 -> 149589
MNCFX : 1 -> 2 , needed 5 , made 6 ore: 149589 -> 149734
VJHF : 0 -> 5 , needed 1 , made 6 ore: 149734 -> 149910
MNCFX : 2 -> 2 , needed 6 , made 6 ore: 149910 -> 150055
VJHF : 5 -> 4 , needed 1 , made 0 ore: 150055 -> 150055
MNCFX : 2 -> 2 , needed 6 , made 6 ore: 150055 -> 150200
CXFTF : 6 -> 3 , needed 19 , made 16 ore: 150200 -> 150202
MNCFX : 2 -> 3 , needed 5 , made 6 ore: 150202 -> 150347
VJHF : 4 -> 3 , needed 1 , made 0 ore: 150347 -> 150347
MNCFX : 3 -> 3 , needed 6 , made 6 ore: 150347 -> 150492
VJHF : 3 -> 2 , needed 1 , made 0 ore: 150492 -> 150492
MNCFX : 3 -> 3 , needed 6 , made 6 ore: 150492 -> 150637
VJHF : 2 -> 4 , needed 22 , made 24 ore: 150637 -> 151341
MNCFX : 3 -> 2 , needed 37 , made 36 ore: 151341 -> 152211
CXFTF : 3 -> 0 , needed 19 , made 16 ore: 152211 -> 152213
MNCFX : 2 -> 3 , needed 5 , made 6 ore: 152213 -> 152358
VJHF : 4 -> 3 , needed 1 , made 0 ore: 152358 -> 152358
MNCFX : 3 -> 3 , needed 6 , made 6 ore: 152358 -> 152503
VJHF : 3 -> 2 , needed 1 , made 0 ore: 152503 -> 152503
MNCFX : 3 -> 3 , needed 6 , made 6 ore: 152503 -> 152648
CXFTF : 0 -> 5 , needed 19 , made 24 ore: 152648 -> 152651
MNCFX : 3 -> 4 , needed 5 , made 6 ore: 152651 -> 152796
VJHF : 2 -> 1 , needed 1 , made 0 ore: 152796 -> 152796
MNCFX : 4 -> 4 , needed 6 , made 6 ore: 152796 -> 152941
NVRVD : 0 -> 3 , needed 17 , made 20 ore: 152941 -> 153636
JNWZP : 1 -> 5 , needed 3 , made 7 ore: 153636 -> 153780
CXFTF : 5 -> 2 , needed 19 , made 16 ore: 153780 -> 153782
MNCFX : 4 -> 5 , needed 5 , made 6 ore: 153782 -> 153927
VJHF : 1 -> 0 , needed 1 , made 0 ore: 153927 -> 153927
MNCFX : 5 -> 5 , needed 6 , made 6 ore: 153927 -> 154072
VJHF : 0 -> 5 , needed 1 , made 6 ore: 154072 -> 154248
