Started
2019 day 12:
.....
0 : pos=<x= 2 , y= -1 , z= 1 >, vel=<x= 3 , y= -1 , z= -1 >
0 : pos=<x= 2 , y= 1 , z= -3 >, vel=<x= -3 , y= -2 , z= 1 >
1 : pos=<x= 1 , y= -8 , z= 0 >, vel=<x= -1 , y= 1 , z= 3 >
2 : pos=<x= 3 , y= -6 , z= 1 >, vel=<x= 3 , y= 2 , z= -3 >
3 : pos=<x= 2 , y= 0 , z= 4 >, vel=<x= 1 , y= -1 , z= -1 >

0 : pos=<x= -1 , y= -4 , z= 1 >, vel=<x= -3 , y= -5 , z= 4 >
1 : pos=<x= 3 , y= -4 , z= 4 >, vel=<x= 2 , y= 4 , z= 4 >
2 : pos=<x= 3 , y= -3 , z= -3 >, vel=<x= 0 , y= 3 , z= -4 >
3 : pos=<x= 3 , y= -2 , z= 0 >, vel=<x= 1 , y= -2 , z= -4 >
0 : pos=<x= -1 , y= -7 , z= 4 >, vel=<x= 0 , y= -3 , z= 3 >
1 : pos=<x= 4 , y= 2 , z= 5 >, vel=<x= 1 , y= 6 , z= 1 >
2 : pos=<x= 2 , y= -1 , z= -4 >, vel=<x= -1 , y= 2 , z= -1 >
3 : pos=<x= 3 , y= -7 , z= -3 >, vel=<x= 0 , y= -5 , z= -3 >
0 : pos=<x= 2 , y= -8 , z= 6 >, vel=<x= 3 , y= -1 , z= 2 >
1 : pos=<x= 2 , y= 5 , z= 3 >, vel=<x= -2 , y= 3 , z= -2 >
2 : pos=<x= 2 , y= 0 , z= -2 >, vel=<x= 0 , y= 1 , z= 2 >
3 : pos=<x= 2 , y= -10 , z= -5 >, vel=<x= -1 , y= -3 , z= -2 >
0 : pos=<x= 5 , y= -8 , z= 5 >, vel=<x= 3 , y= 0 , z= -1 >
1 : pos=<x= 0 , y= 5 , z= 0 >, vel=<x= -2 , y= 0 , z= -3 >
2 : pos=<x= 2 , y= 0 , z= 1 >, vel=<x= 0 , y= 0 , z= 3 >
3 : pos=<x= 1 , y= -10 , z= -4 >, vel=<x= -1 , y= 0 , z= 1 >
0 : pos=<x= 5 , y= -7 , z= 1 >, vel=<x= 0 , y= 1 , z= -4 >
1 : pos=<x= 1 , y= 2 , z= -2 >, vel=<x= 1 , y= -3 , z= -2 >
2 : pos=<x= 1 , y= -1 , z= 3 >, vel=<x= -1 , y= -1 , z= 2 >
3 : pos=<x= 1 , y= -7 , z= 0 >, vel=<x= 0 , y= 3 , z= 4 >
0 : pos=<x= 2 , y= -4 , z= -4 >, vel=<x= -3 , y= 3 , z= -5 >
1 : pos=<x= 3 , y= -4 , z= -1 >, vel=<x= 2 , y= -6 , z= 1 >
2 : pos=<x= 1 , y= -3 , z= 2 >, vel=<x= 0 , y= -2 , z= -1 >
3 : pos=<x= 2 , y= -2 , z= 5 >, vel=<x= 1 , y= 5 , z= 5 >
0 : pos=<x= -1 , y= 1 , z= -6 >, vel=<x= -3 , y= 5 , z= -2 >
1 : pos=<x= 2 , y= -8 , z= 1 >, vel=<x= -1 , y= -4 , z= 2 >
2 : pos=<x= 4 , y= -6 , z= 0 >, vel=<x= 3 , y= -3 , z= -2 >
3 : pos=<x= 3 , y= 0 , z= 7 >, vel=<x= 1 , y= 2 , z= 2 >
0 : pos=<x= -1 , y= 3 , z= -5 >, vel=<x= 0 , y= 2 , z= 1 >
1 : pos=<x= 2 , y= -9 , z= 2 >, vel=<x= 0 , y= -1 , z= 1 >
2 : pos=<x= 4 , y= -8 , z= -1 >, vel=<x= 0 , y= -2 , z= -1 >
3 : pos=<x= 3 , y= 1 , z= 6 >, vel=<x= 0 , y= 1 , z= -1 >
0 : pos=<x= 2 , y= 2 , z= -1 >, vel=<x= 3 , y= -1 , z= 4 >
1 : pos=<x= 3 , y= -7 , z= 2 >, vel=<x= 1 , y= 2 , z= 0 >
2 : pos=<x= 1 , y= -9 , z= -1 >, vel=<x= -3 , y= -1 , z= 0 >
3 : pos=<x= 2 , y= 1 , z= 2 >, vel=<x= -1 , y= 0 , z= -4 >
found velocity and position match, step #: 19
0 : pos=<x= 5 , y= -2 , z= 5 >, vel=<x= 3 , y= -4 , z= 6 >
1 : pos=<x= 1 , y= -4 , z= 0 >, vel=<x= -2 , y= 3 , z= -2 >
2 : pos=<x= 1 , y= -7 , z= 1 >, vel=<x= 0 , y= 2 , z= 2 >
3 : pos=<x= 1 , y= 0 , z= -4 >, vel=<x= -1 , y= -1 , z= -6 >
0 : pos=<x= 5 , y= -7 , z= 8 >, vel=<x= 0 , y= -5 , z= 3 >
1 : pos=<x= 0 , y= 0 , z= -1 >, vel=<x= -1 , y= 4 , z= -1 >
2 : pos=<x= 2 , y= -2 , z= 2 >, vel=<x= 1 , y= 5 , z= 1 >
3 : pos=<x= 1 , y= -4 , z= -7 >, vel=<x= 0 , y= -4 , z= -3 >
0 : pos=<x= 2 , y= -9 , z= 8 >, vel=<x= -3 , y= -2 , z= 0 >
1 : pos=<x= 2 , y= 1 , z= -1 >, vel=<x= 2 , y= 1 , z= 0 >
2 : pos=<x= 2 , y= 2 , z= 2 >, vel=<x= 0 , y= 4 , z= 0 >
3 : pos=<x= 2 , y= -7 , z= -7 >, vel=<x= 1 , y= -3 , z= 0 >
found velocity and position match, step #: 22
0 : pos=<x= -1 , y= -8 , z= 5 >, vel=<x= -3 , y= 1 , z= -3 >
1 : pos=<x= 4 , y= 1 , z= 0 >, vel=<x= 2 , y= 0 , z= 1 >
2 : pos=<x= 2 , y= 3 , z= 1 >, vel=<x= 0 , y= 1 , z= -1 >
3 : pos=<x= 3 , y= -9 , z= -4 >, vel=<x= 1 , y= -2 , z= 3 >
found velocity and position match, step #: 23
0 : pos=<x= -1 , y= -6 , z= -1 >, vel=<x= 0 , y= 2 , z= -6 >
1 : pos=<x= 3 , y= 0 , z= 2 >, vel=<x= -1 , y= -1 , z= 2 >
2 : pos=<x= 3 , y= 1 , z= -1 >, vel=<x= 1 , y= -2 , z= -2 >
3 : pos=<x= 3 , y= -8 , z= 2 >, vel=<x= 0 , y= 1 , z= 6 >
0 : pos=<x= 2 , y= -3 , z= -5 >, vel=<x= 3 , y= 3 , z= -4 >
1 : pos=<x= 1 , y= -2 , z= 2 >, vel=<x= -2 , y= -2 , z= 0 >
2 : pos=<x= 3 , y= -4 , z= -1 >, vel=<x= 0 , y= -5 , z= 0 >
3 : pos=<x= 2 , y= -4 , z= 6 >, vel=<x= -1 , y= 4 , z= 4 >
found velocity and position match, step #: 25
0 : pos=<x= 5 , y= -1 , z= -6 >, vel=<x= 3 , y= 2 , z= -1 >
1 : pos=<x= 2 , y= -7 , z= 1 >, vel=<x= 1 , y= -5 , z= -1 >
2 : pos=<x= 0 , y= -7 , z= 0 >, vel=<x= -3 , y= -3 , z= 1 >
3 : pos=<x= 1 , y= 2 , z= 7 >, vel=<x= -1 , y= 6 , z= 1 >
0 : pos=<x= 5 , y= 0 , z= -4 >, vel=<x= 0 , y= 1 , z= 2 >
1 : pos=<x= 2 , y= -10 , z= -1 >, vel=<x= 0 , y= -3 , z= -2 >
2 : pos=<x= 0 , y= -8 , z= 2 >, vel=<x= 0 , y= -1 , z= 2 >
3 : pos=<x= 1 , y= 5 , z= 5 >, vel=<x= 0 , y= 3 , z= -2 >
0 : pos=<x= 2 , y= 0 , z= 1 >, vel=<x= -3 , y= 0 , z= 5 >
1 : pos=<x= 1 , y= -10 , z= -2 >, vel=<x= -1 , y= 0 , z= -1 >
2 : pos=<x= 3 , y= -8 , z= 3 >, vel=<x= 3 , y= 0 , z= 1 >
3 : pos=<x= 2 , y= 5 , z= 0 >, vel=<x= 1 , y= 0 , z= -5 >
found velocity and position match, step #: 28
0 : pos=<x= -1 , y= -1 , z= 5 >, vel=<x= -3 , y= -1 , z= 4 >
1 : pos=<x= 3 , y= -7 , z= 0 >, vel=<x= 2 , y= 3 , z= 2 >
2 : pos=<x= 3 , y= -7 , z= 1 >, vel=<x= 0 , y= 1 , z= -2 >
3 : pos=<x= 3 , y= 2 , z= -4 >, vel=<x= 1 , y= -3 , z= -4 >
found velocity and position match, step #: 29
0 : pos=<x= -1 , y= -3 , z= 6 >, vel=<x= 0 , y= -2 , z= 1 >
1 : pos=<x= 4 , y= -2 , z= 3 >, vel=<x= 1 , y= 5 , z= 3 >
2 : pos=<x= 2 , y= -4 , z= -2 >, vel=<x= -1 , y= 3 , z= -3 >
3 : pos=<x= 3 , y= -4 , z= -5 >, vel=<x= 0 , y= -6 , z= -1 >
found velocity and position match, step #: 30
0 : pos=<x= 2 , y= -6 , z= 4 >, vel=<x= 3 , y= -3 , z= -2 >
1 : pos=<x= 2 , y= 0 , z= 5 >, vel=<x= -2 , y= 2 , z= 2 >
2 : pos=<x= 2 , y= 1 , z= -4 >, vel=<x= 0 , y= 5 , z= -2 >
3 : pos=<x= 2 , y= -8 , z= -3 >, vel=<x= -1 , y= -4 , z= 2 >
found velocity and position match, step #: 31
0 : pos=<x= 5 , y= -8 , z= 1 >, vel=<x= 3 , y= -2 , z= -3 >
1 : pos=<x= 0 , y= 1 , z= 4 >, vel=<x= -2 , y= 1 , z= -1 >
2 : pos=<x= 2 , y= 3 , z= -3 >, vel=<x= 0 , y= 2 , z= 1 >
3 : pos=<x= 1 , y= -9 , z= 0 >, vel=<x= -1 , y= -1 , z= 3 >
found velocity and position match, step #: 32
0 : pos=<x= 5 , y= -9 , z= -3 >, vel=<x= 0 , y= -1 , z= -4 >
1 : pos=<x= 1 , y= 1 , z= 0 >, vel=<x= 1 , y= 0 , z= -4 >
2 : pos=<x= 1 , y= 2 , z= 1 >, vel=<x= -1 , y= -1 , z= 4 >
3 : pos=<x= 1 , y= -7 , z= 4 >, vel=<x= 0 , y= 2 , z= 4 >
found velocity and position match, step #: 33
0 : pos=<x= 2 , y= -7 , z= -4 >, vel=<x= -3 , y= 2 , z= -1 >
1 : pos=<x= 3 , y= 0 , z= -3 >, vel=<x= 2 , y= -1 , z= -3 >
2 : pos=<x= 1 , y= -2 , z= 4 >, vel=<x= 0 , y= -4 , z= 3 >
3 : pos=<x= 2 , y= -4 , z= 5 >, vel=<x= 1 , y= 3 , z= 1 >
found velocity and position match, step #: 34
0 : pos=<x= -1 , y= -2 , z= -2 >, vel=<x= -3 , y= 5 , z= 2 >
1 : pos=<x= 2 , y= -4 , z= -5 >, vel=<x= -1 , y= -4 , z= -2 >
2 : pos=<x= 4 , y= -7 , z= 6 >, vel=<x= 3 , y= -5 , z= 2 >
3 : pos=<x= 3 , y= 0 , z= 3 >, vel=<x= 1 , y= 4 , z= -2 >
found velocity and position match, step #: 35
0 : pos=<x= -1 , y= 2 , z= 1 >, vel=<x= 0 , y= 4 , z= 3 >
1 : pos=<x= 2 , y= -7 , z= -4 >, vel=<x= 0 , y= -3 , z= 1 >
2 : pos=<x= 4 , y= -9 , z= 5 >, vel=<x= 0 , y= -2 , z= -1 >
3 : pos=<x= 3 , y= 1 , z= 0 >, vel=<x= 0 , y= 1 , z= -3 >
found velocity and position match, step #: 36
0 : pos=<x= 2 , y= 3 , z= 3 >, vel=<x= 3 , y= 1 , z= 2 >
1 : pos=<x= 3 , y= -9 , z= 0 >, vel=<x= 1 , y= -2 , z= 4 >
2 : pos=<x= 1 , y= -8 , z= 1 >, vel=<x= -3 , y= 1 , z= -4 >
3 : pos=<x= 2 , y= 1 , z= -2 >, vel=<x= -1 , y= 0 , z= -2 >
found velocity and position match, step #: 37
0 : pos=<x= 5 , y= 1 , z= 2 >, vel=<x= 3 , y= -2 , z= -1 >
1 : pos=<x= 1 , y= -8 , z= 5 >, vel=<x= -2 , y= 1 , z= 5 >
2 : pos=<x= 1 , y= -6 , z= -4 >, vel=<x= 0 , y= 2 , z= -5 >
3 : pos=<x= 1 , y= 0 , z= -1 >, vel=<x= -1 , y= -1 , z= 1 >
found velocity and position match, step #: 38
0 : pos=<x= 5 , y= -4 , z= 0 >, vel=<x= 0 , y= -5 , z= -2 >
1 : pos=<x= 0 , y= -4 , z= 7 >, vel=<x= -1 , y= 4 , z= 2 >
2 : pos=<x= 2 , y= -3 , z= -6 >, vel=<x= 1 , y= 3 , z= -2 >
3 : pos=<x= 1 , y= -2 , z= 1 >, vel=<x= 0 , y= -2 , z= 2 >
found velocity and position match, step #: 39
0 : pos=<x= 2 , y= -7 , z= -1 >, vel=<x= -3 , y= -3 , z= -1 >
1 : pos=<x= 2 , y= 2 , z= 6 >, vel=<x= 2 , y= 6 , z= -1 >
2 : pos=<x= 2 , y= -1 , z= -5 >, vel=<x= 0 , y= 2 , z= 1 >
3 : pos=<x= 2 , y= -7 , z= 2 >, vel=<x= 1 , y= -5 , z= 1 >
found velocity and position match, step #: 40
0 : pos=<x= -1 , y= -8 , z= -1 >, vel=<x= -3 , y= -1 , z= 0 >
1 : pos=<x= 4 , y= 5 , z= 2 >, vel=<x= 2 , y= 3 , z= -4 >
2 : pos=<x= 2 , y= 0 , z= -1 >, vel=<x= 0 , y= 1 , z= 4 >
3 : pos=<x= 3 , y= -10 , z= 2 >, vel=<x= 1 , y= -3 , z= 0 >
found velocity and position match, step #: 41
0 : pos=<x= -1 , y= -8 , z= 1 >, vel=<x= 0 , y= 0 , z= 2 >
1 : pos=<x= 3 , y= 5 , z= -4 >, vel=<x= -1 , y= 0 , z= -6 >
2 : pos=<x= 3 , y= 0 , z= 5 >, vel=<x= 1 , y= 0 , z= 6 >
3 : pos=<x= 3 , y= -10 , z= 0 >, vel=<x= 0 , y= 0 , z= -2 >
0 : pos=<x= 2 , y= -7 , z= 2 >, vel=<x= 3 , y= 1 , z= 1 >
1 : pos=<x= 1 , y= 2 , z= -7 >, vel=<x= -2 , y= -3 , z= -3 >
2 : pos=<x= 3 , y= -1 , z= 8 >, vel=<x= 0 , y= -1 , z= 3 >
3 : pos=<x= 2 , y= -7 , z= -1 >, vel=<x= -1 , y= 3 , z= -1 >
0 : pos=<x= 5 , y= -4 , z= 2 >, vel=<x= 3 , y= 3 , z= 0 >
1 : pos=<x= 2 , y= -4 , z= -7 >, vel=<x= 1 , y= -6 , z= 0 >
2 : pos=<x= 0 , y= -3 , z= 8 >, vel=<x= -3 , y= -2 , z= 0 >
3 : pos=<x= 1 , y= -2 , z= -1 >, vel=<x= -1 , y= 5 , z= 0 >
found velocity and position match, step #: 44
0 : pos=<x= 5 , y= 1 , z= 1 >, vel=<x= 0 , y= 5 , z= -1 >
1 : pos=<x= 2 , y= -8 , z= -4 >, vel=<x= 0 , y= -4 , z= 3 >
2 : pos=<x= 0 , y= -6 , z= 5 >, vel=<x= 0 , y= -3 , z= -3 >
3 : pos=<x= 1 , y= 0 , z= 0 >, vel=<x= 0 , y= 2 , z= 1 >
found velocity and position match, step #: 45
0 : pos=<x= 2 , y= 3 , z= -1 >, vel=<x= -3 , y= 2 , z= -2 >
1 : pos=<x= 1 , y= -9 , z= 2 >, vel=<x= -1 , y= -1 , z= 6 >
2 : pos=<x= 3 , y= -8 , z= -1 >, vel=<x= 3 , y= -2 , z= -6 >
3 : pos=<x= 2 , y= 1 , z= 2 >, vel=<x= 1 , y= 1 , z= 2 >
found velocity and position match, step #: 46
0 : pos=<x= -1 , y= 2 , z= -1 >, vel=<x= -3 , y= -1 , z= 0 >
1 : pos=<x= 3 , y= -7 , z= 6 >, vel=<x= 2 , y= 2 , z= 4 >
2 : pos=<x= 3 , y= -9 , z= -5 >, vel=<x= 0 , y= -1 , z= -4 >
3 : pos=<x= 3 , y= 1 , z= 2 >, vel=<x= 1 , y= 0 , z= 0 >
found velocity and position match, step #: 47
0 : pos=<x= -1 , y= -2 , z= 0 >, vel=<x= 0 , y= -4 , z= 1 >
1 : pos=<x= 4 , y= -4 , z= 7 >, vel=<x= 1 , y= 3 , z= 1 >
2 : pos=<x= 2 , y= -7 , z= -6 >, vel=<x= -1 , y= 2 , z= -1 >
3 : pos=<x= 3 , y= 0 , z= 1 >, vel=<x= 0 , y= -1 , z= -1 >
found velocity and position match, step #: 48
0 : pos=<x= 2 , y= -7 , z= 2 >, vel=<x= 3 , y= -5 , z= 2 >
1 : pos=<x= 2 , y= 0 , z= 5 >, vel=<x= -2 , y= 4 , z= -2 >
2 : pos=<x= 2 , y= -2 , z= -4 >, vel=<x= 0 , y= 5 , z= 2 >
3 : pos=<x= 2 , y= -4 , z= -1 >, vel=<x= -1 , y= -4 , z= -2 >
found velocity and position match, step #: 49
0 : pos=<x= 5 , y= -9 , z= 3 >, vel=<x= 3 , y= -2 , z= 1 >
1 : pos=<x= 0 , y= 1 , z= 0 >, vel=<x= -2 , y= 1 , z= -5 >
2 : pos=<x= 2 , y= 2 , z= 1 >, vel=<x= 0 , y= 4 , z= 5 >
3 : pos=<x= 1 , y= -7 , z= -2 >, vel=<x= -1 , y= -3 , z= -1 >
found velocity and position match, step #: 50
0 : pos=<x= 5 , y= -8 , z= 1 >, vel=<x= 0 , y= 1 , z= -2 >
1 : pos=<x= 1 , y= 1 , z= -4 >, vel=<x= 1 , y= 0 , z= -4 >
2 : pos=<x= 1 , y= 3 , z= 5 >, vel=<x= -1 , y= 1 , z= 4 >
3 : pos=<x= 1 , y= -9 , z= 0 >, vel=<x= 0 , y= -2 , z= 2 >
found velocity and position match, step #: 51
0 : pos=<x= 2 , y= -6 , z= -2 >, vel=<x= -3 , y= 2 , z= -3 >
1 : pos=<x= 3 , y= 0 , z= -5 >, vel=<x= 2 , y= -1 , z= -1 >
2 : pos=<x= 1 , y= 1 , z= 6 >, vel=<x= 0 , y= -2 , z= 1 >
3 : pos=<x= 2 , y= -8 , z= 3 >, vel=<x= 1 , y= 1 , z= 3 >
found velocity and position match, step #: 52
0 : pos=<x= -1 , y= -3 , z= -4 >, vel=<x= -3 , y= 3 , z= -2 >
1 : pos=<x= 2 , y= -2 , z= -3 >, vel=<x= -1 , y= -2 , z= 2 >
2 : pos=<x= 4 , y= -4 , z= 4 >, vel=<x= 3 , y= -5 , z= -2 >
3 : pos=<x= 3 , y= -4 , z= 5 >, vel=<x= 1 , y= 4 , z= 2 >
found velocity and position match, step #: 53
0 : pos=<x= -1 , y= -1 , z= -3 >, vel=<x= 0 , y= 2 , z= 1 >
1 : pos=<x= 2 , y= -7 , z= 0 >, vel=<x= 0 , y= -5 , z= 3 >
2 : pos=<x= 4 , y= -7 , z= 1 >, vel=<x= 0 , y= -3 , z= -3 >
3 : pos=<x= 3 , y= 2 , z= 4 >, vel=<x= 0 , y= 6 , z= -1 >
found velocity and position match, step #: 54
0 : pos=<x= 2 , y= 0 , z= 1 >, vel=<x= 3 , y= 1 , z= 4 >
1 : pos=<x= 3 , y= -10 , z= 4 >, vel=<x= 1 , y= -3 , z= 4 >
2 : pos=<x= 1 , y= -8 , z= -3 >, vel=<x= -3 , y= -1 , z= -4 >
3 : pos=<x= 2 , y= 5 , z= 0 >, vel=<x= -1 , y= 3 , z= -4 >
found velocity and position match, step #: 55
0 : pos=<x= 5 , y= 0 , z= 4 >, vel=<x= 3 , y= 0 , z= 3 >
1 : pos=<x= 1 , y= -10 , z= 5 >, vel=<x= -2 , y= 0 , z= 1 >
2 : pos=<x= 1 , y= -8 , z= -4 >, vel=<x= 0 , y= 0 , z= -1 >
3 : pos=<x= 1 , y= 5 , z= -3 >, vel=<x= -1 , y= 0 , z= -3 >
found velocity and position match, step #: 56
0 : pos=<x= 5 , y= -1 , z= 6 >, vel=<x= 0 , y= -1 , z= 2 >
1 : pos=<x= 0 , y= -7 , z= 3 >, vel=<x= -1 , y= 3 , z= -2 >
2 : pos=<x= 2 , y= -7 , z= -2 >, vel=<x= 1 , y= 1 , z= 2 >
3 : pos=<x= 1 , y= 2 , z= -5 >, vel=<x= 0 , y= -3 , z= -2 >
found velocity and position match, step #: 57
0 : pos=<x= 2 , y= -3 , z= 5 >, vel=<x= -3 , y= -2 , z= -1 >
1 : pos=<x= 2 , y= -2 , z= 0 >, vel=<x= 2 , y= 5 , z= -3 >
2 : pos=<x= 2 , y= -4 , z= 1 >, vel=<x= 0 , y= 3 , z= 3 >
3 : pos=<x= 2 , y= -4 , z= -4 >, vel=<x= 1 , y= -6 , z= 1 >
found velocity and position match, step #: 58
0 : pos=<x= -1 , y= -6 , z= 1 >, vel=<x= -3 , y= -3 , z= -4 >
1 : pos=<x= 4 , y= 0 , z= -2 >, vel=<x= 2 , y= 2 , z= -2 >
2 : pos=<x= 2 , y= 1 , z= 3 >, vel=<x= 0 , y= 5 , z= 2 >
3 : pos=<x= 3 , y= -8 , z= 0 >, vel=<x= 1 , y= -4 , z= 4 >
found velocity and position match, step #: 59
0 : pos=<x= -1 , y= -8 , z= -4 >, vel=<x= 0 , y= -2 , z= -5 >
1 : pos=<x= 3 , y= 1 , z= -1 >, vel=<x= -1 , y= 1 , z= 1 >
2 : pos=<x= 3 , y= 3 , z= 2 >, vel=<x= 1 , y= 2 , z= -1 >
3 : pos=<x= 3 , y= -9 , z= 5 >, vel=<x= 0 , y= -1 , z= 5 >
found velocity and position match, step #: 60
0 : pos=<x= 2 , y= -9 , z= -6 >, vel=<x= 3 , y= -1 , z= -2 >
1 : pos=<x= 1 , y= 1 , z= 1 >, vel=<x= -2 , y= 0 , z= 2 >
2 : pos=<x= 3 , y= 2 , z= 0 >, vel=<x= 0 , y= -1 , z= -2 >
3 : pos=<x= 2 , y= -7 , z= 7 >, vel=<x= -1 , y= 2 , z= 2 >
found velocity and position match, step #: 61
0 : pos=<x= 5 , y= -7 , z= -5 >, vel=<x= 3 , y= 2 , z= 1 >
1 : pos=<x= 2 , y= 0 , z= 2 >, vel=<x= 1 , y= -1 , z= 1 >
2 : pos=<x= 0 , y= -2 , z= -1 >, vel=<x= -3 , y= -4 , z= -1 >
3 : pos=<x= 1 , y= -4 , z= 6 >, vel=<x= -1 , y= 3 , z= -1 >
found velocity and position match, step #: 62
0 : pos=<x= 5 , y= -2 , z= -1 >, vel=<x= 0 , y= 5 , z= 4 >
1 : pos=<x= 2 , y= -4 , z= 2 >, vel=<x= 0 , y= -4 , z= 0 >
2 : pos=<x= 0 , y= -7 , z= -1 >, vel=<x= 0 , y= -5 , z= 0 >
3 : pos=<x= 1 , y= 0 , z= 2 >, vel=<x= 0 , y= 4 , z= -4 >
found velocity and position match, step #: 63
0 : pos=<x= 2 , y= 2 , z= 5 >, vel=<x= -3 , y= 4 , z= 6 >
1 : pos=<x= 1 , y= -7 , z= 0 >, vel=<x= -1 , y= -3 , z= -2 >
2 : pos=<x= 3 , y= -9 , z= 1 >, vel=<x= 3 , y= -2 , z= 2 >
3 : pos=<x= 2 , y= 1 , z= -4 >, vel=<x= 1 , y= 1 , z= -6 >
found velocity and position match, step #: 64
0 : pos=<x= -1 , y= 3 , z= 8 >, vel=<x= -3 , y= 1 , z= 3 >
1 : pos=<x= 3 , y= -9 , z= -1 >, vel=<x= 2 , y= -2 , z= -1 >
2 : pos=<x= 3 , y= -8 , z= 2 >, vel=<x= 0 , y= 1 , z= 1 >
3 : pos=<x= 3 , y= 1 , z= -7 >, vel=<x= 1 , y= 0 , z= -3 >
found velocity and position match, step #: 65
0 : pos=<x= -1 , y= 1 , z= 8 >, vel=<x= 0 , y= -2 , z= 0 >
1 : pos=<x= 4 , y= -8 , z= -1 >, vel=<x= 1 , y= 1 , z= 0 >
2 : pos=<x= 2 , y= -6 , z= 2 >, vel=<x= -1 , y= 2 , z= 0 >
3 : pos=<x= 3 , y= 0 , z= -7 >, vel=<x= 0 , y= -1 , z= 0 >
found velocity and position match, step #: 66
0 : pos=<x= 2 , y= -4 , z= 5 >, vel=<x= 3 , y= -5 , z= -3 >
1 : pos=<x= 2 , y= -4 , z= 0 >, vel=<x= -2 , y= 4 , z= 1 >
2 : pos=<x= 2 , y= -3 , z= 1 >, vel=<x= 0 , y= 3 , z= -1 >
3 : pos=<x= 2 , y= -2 , z= -4 >, vel=<x= -1 , y= -2 , z= 3 >
found velocity and position match, step #: 67
0 : pos=<x= 5 , y= -7 , z= -1 >, vel=<x= 3 , y= -3 , z= -6 >
1 : pos=<x= 0 , y= 2 , z= 2 >, vel=<x= -2 , y= 6 , z= 2 >
2 : pos=<x= 2 , y= -1 , z= -1 >, vel=<x= 0 , y= 2 , z= -2 >
